广东电信组播👉,#genre#
汕尾新闻综合高清,http://192.168.110.2:5555/rtp/239.77.0.25:5146
汕尾文化生活高清,http://192.168.110.2:5555/rtp/239.77.0.187:5146
佛山综合高清,http://192.168.110.2:5555/rtp/239.253.43.57:5146
佛山公共高清,http://192.168.110.2:5555/rtp/239.253.43.53:5146
佛山顺德高清,http://192.168.110.2:5555/rtp/239.253.43.55:5146
佛山南海高清,http://192.168.110.2:5555/rtp/239.253.43.54:5146
佛山影视高清,http://192.168.110.2:5555/rtp/239.253.43.56:5146
肇庆综合高清,http://192.168.110.2:5555/rtp/239.253.43.1:5146
肇庆生活高清,http://192.168.110.2:5555/rtp/239.253.43.2:5146
中山综合高清,http://192.168.110.2:5555/rtp/239.253.43.62:5146
香山文化高清,http://192.168.110.2:5555/rtp/239.253.43.63:5146
中山教育高清,http://192.168.110.2:5555/rtp/239.253.43.64:5146
清远新闻综合高清,http://192.168.110.2:5555/rtp/239.253.43.33:5146
清远文旅生活高清,http://192.168.110.2:5555/rtp/239.253.43.34:5146
东莞新闻综合高清,http://192.168.110.2:5555/rtp/239.253.43.104:5146
东莞生活资讯高清,http://192.168.110.2:5555/rtp/239.253.43.105:5146
珠海-1高清,http://192.168.110.2:5555/rtp/239.77.0.155:5146
珠海-2高清,http://192.168.110.2:5555/rtp/239.77.0.154:5146
韶关新闻综合高清,http://192.168.110.2:5555/rtp/239.77.0.117:5146
韶关绿色生活高清(CCTV1),http://192.168.110.2:5555/rtp/239.77.0.119:5146
湛江新闻综合高清,http://192.168.110.2:5555/rtp/239.77.0.141:5146
湛江公共高清,http://192.168.110.2:5555/rtp/239.77.0.140:5146
徐闻综合高清,http://192.168.110.2:5555/rtp/239.253.43.112:5146
江门综合高清,http://192.168.110.2:5555/rtp/239.77.0.201:5146
江门侨乡生活高清,http://192.168.110.2:5555/rtp/239.77.0.202:5146
江门教育高清,http://192.168.110.2:5555/rtp/239.77.0.203:5146
茂名综合高清,http://192.168.110.2:5555/rtp/239.77.0.206:5146
茂名文化生活高清,http://192.168.110.2:5555/rtp/239.77.0.207:5146
云浮综合高清,http://192.168.110.2:5555/rtp/239.77.0.253:5146
云浮文旅高清,http://192.168.110.2:5555/rtp/239.77.0.254:5146
广东少儿高清,http://192.168.110.2:5555/rtp/239.77.0.250:5146
嘉佳卡通高清,http://192.168.110.2:5555/rtp/239.77.0.179:5146
广东房产,http://192.168.110.2:5555/rtp/239.77.0.14:5146
现代教育,http://192.168.110.2:5555/rtp/239.77.0.18:5146
南方购物高清,http://192.168.110.2:5555/rtp/239.77.0.19:5146
广东移动,http://192.168.110.2:5555/rtp/239.77.0.20:5146

CCTV4K,http://192.168.110.2:5555/rtp/239.77.0.174:5146
CCTV-1高清,http://192.168.110.2:5555/rtp/239.77.1.17:5146
CCTV-2高清,http://192.168.110.2:5555/rtp/239.77.0.137:5146
CCTV-3高清,http://192.168.110.2:5555/rtp/239.77.0.169:5146
CCTV-4中文高清,http://192.168.110.2:5555/rtp/239.77.0.78:5146
CCTV-4欧洲高清,http://192.168.110.2:5555/rtp/239.253.43.120:5146
CCTV-4美洲高清,http://192.168.110.2:5555/rtp/239.253.43.121:5146
CCTV-5高清,http://192.168.110.2:5555/rtp/239.77.0.170:5146
CCTV-5+高清,http://192.168.110.2:5555/rtp/239.77.0.87:5146
CCTV-6高清,http://192.168.110.2:5555/rtp/239.77.0.171:5146
CCTV-7高清,http://192.168.110.2:5555/rtp/239.77.0.138:5146
CCTV-8高清,http://192.168.110.2:5555/rtp/239.77.0.172:5146
CCTV-9高清,http://192.168.110.2:5555/rtp/239.77.0.135:5146
CCTV-10高清,http://192.168.110.2:5555/rtp/239.77.0.134:5146
CCTV-11高清,http://192.168.110.2:5555/rtp/239.77.1.238:5146
CCTV-12高清,http://192.168.110.2:5555/rtp/239.77.0.136:5146
CCTV-13高清,http://192.168.110.2:5555/rtp/239.77.0.188:5146
CCTV-14高清,http://192.168.110.2:5555/rtp/239.77.0.133:5146
CCTV-15高清,http://192.168.110.2:5555/rtp/239.77.1.239:5146
CCTV-16高清,http://192.168.110.2:5555/rtp/239.77.0.165:5146
CCTV-17高清,http://192.168.110.2:5555/rtp/239.77.0.198:5146
CCTV风云音乐高清,http://192.168.110.2:5555/rtp/239.253.43.6:5146
CCTV怀旧剧场高清,http://192.168.110.2:5555/rtp/239.253.43.5:5146
CCTV第一剧场高清,http://192.168.110.2:5555/rtp/239.253.43.15:5146
CCTV风云剧场高清,http://192.168.110.2:5555/rtp/239.253.43.16:5146
CCTV世界地理高清,http://192.168.110.2:5555/rtp/239.253.43.7:5146
CCTV女性时尚高清,http://192.168.110.2:5555/rtp/239.253.43.8:5146
CCTV兵器科技高清,http://192.168.110.2:5555/rtp/239.253.43.9:5146
CCTV电视指南高清,http://192.168.110.2:5555/rtp/239.253.43.10:5146
CCTV央视台球高清,http://192.168.110.2:5555/rtp/239.253.43.11:5146
CCTV高尔夫网高清,http://192.168.110.2:5555/rtp/239.253.43.12:5146
CCTV文化精品高清,http://192.168.110.2:5555/rtp/239.253.43.13:5146
CCTV风云足球高清,http://192.168.110.2:5555/rtp/239.253.43.14:5146
CETV-1高清,http://192.168.110.2:5555/rtp/239.77.0.200:5146
CETV2标清,http://192.168.110.2:5555/rtp/239.77.0.28:5146
CETV4高清,http://192.168.110.2:5555/rtp/239.77.1.200:5146
CETV早期教育高清,http://192.168.110.2:5555/rtp/239.77.0.180:5146
CGTN,http://192.168.110.2:5555/rtp/239.77.0.45:5146
CGTN英高清,http://192.168.110.2:5555/rtp/239.253.43.122:5146
CGTN阿拉伯语,http://192.168.110.2:5555/rtp/239.253.43.200:5146
CGTN俄语高清,http://192.168.110.2:5555/rtp/239.253.43.201:5146
CGTN英语高清,http://192.168.110.2:5555/rtp/239.77.0.199:5146
CGTN西班牙语高清,http://192.168.110.2:5555/rtp/239.77.0.221:5146
CGTN法语高清,http://192.168.110.2:5555/rtp/239.77.0.228:5146
CHC高清电影,http://192.168.110.2:5555/rtp/239.77.0.27:5146
求索纪录,http://192.168.110.2:5555/rtp/239.77.0.21:5146
求索生活,http://192.168.110.2:5555/rtp/239.77.0.153:5146
纪实人文高清,http://192.168.110.2:5555/rtp/239.77.0.147:5146
金鹰纪实高清测试,http://192.168.110.2:5555/rtp/239.77.0.160:5146
爱大剧,http://192.168.110.2:5555/rtp/239.77.0.105:5146
爱电影,http://192.168.110.2:5555/rtp/239.77.0.103:5146
爱综艺,http://192.168.110.2:5555/rtp/239.77.0.107:5146
爱体育高清,http://192.168.110.2:5555/rtp/239.77.0.176:5146

广东卫视超清,http://192.168.110.2:5555/rtp/239.77.0.166:5146
广东卫视高清,http://192.168.110.2:5555/rtp/239.77.0.84:5146
深圳卫视超清,http://192.168.110.2:5555/rtp/239.77.0.130:5146
深圳卫视高清,http://192.168.110.2:5555/rtp/239.77.0.92:5146
海南卫视高清,http://192.168.110.2:5555/rtp/239.253.43.35:5146
三沙卫视高清,http://192.168.110.2:5555/rtp/239.253.43.113:5146
广西卫视高清,http://192.168.110.2:5555/rtp/239.77.0.139:5146
云南卫视高清,http://192.168.110.2:5555/rtp/239.253.43.37:5146
江西卫视高清,http://192.168.110.2:5555/rtp/239.77.0.149:5146
湖南卫视超清,http://192.168.110.2:5555/rtp/239.77.0.127:5146
东南卫视高清,http://192.168.110.2:5555/rtp/239.77.0.146:5146
厦门卫视,http://192.168.110.2:5555/rtp/239.77.0.96:5146
浙江卫视超清,http://192.168.110.2:5555/rtp/239.77.0.125:5146
江苏卫视高清,http://192.168.110.2:5555/rtp/239.77.0.90:5146
东方卫视高清,http://192.168.110.2:5555/rtp/239.77.0.98:5146
贵州卫视高清,http://192.168.110.2:5555/rtp/239.77.0.230:5146
四川卫视超清,http://192.168.110.2:5555/rtp/239.77.0.163:5146
四川卫视高清,http://192.168.110.2:5555/rtp/239.77.0.159:5146
重庆卫视高清,http://192.168.110.2:5555/rtp/239.77.0.182:5146
安徽卫视高清,http://192.168.110.2:5555/rtp/239.77.0.183:5146
北京卫视高清,http://192.168.110.2:5555/rtp/239.77.0.91:5146
天津卫视超清,http://192.168.110.2:5555/rtp/239.77.0.131:5146
山东卫视高清,http://192.168.110.2:5555/rtp/239.77.0.94:5146
山东教育卫视标清,http://192.168.110.2:5555/rtp/239.77.0.83:5146
湖北卫视超清,http://192.168.110.2:5555/rtp/239.77.0.128:5146
湖北卫视高清,http://192.168.110.2:5555/rtp/239.77.0.95:5146
河南卫视高清,http://192.168.110.2:5555/rtp/239.77.0.17:5146
河北卫视高清,http://192.168.110.2:5555/rtp/239.77.0.148:5146
辽宁卫视超清,http://192.168.110.2:5555/rtp/239.77.0.161:5146
黑龙江卫视超清,http://192.168.110.2:5555/rtp/239.77.0.124:5146
黑龙江卫视高清,http://192.168.110.2:5555/rtp/239.77.0.93:5146
吉林卫视高清,http://192.168.110.2:5555/rtp/239.77.0.150:5146
甘肃卫视高清,http://192.168.110.2:5555/rtp/239.77.0.189:5146
青海卫视高清,http://192.168.110.2:5555/rtp/239.77.0.71:5146
宁夏卫视标清,http://192.168.110.2:5555/rtp/239.77.0.73:5146
西藏卫视标清,http://192.168.110.2:5555/rtp/239.77.0.74:5146
新疆卫视标清,http://192.168.110.2:5555/rtp/239.77.0.75:5146
兵团卫视标清,http://192.168.110.2:5555/rtp/239.77.0.77:5146
山西卫视标清,http://192.168.110.2:5555/rtp/239.77.1.74:5146
陕西卫视标清,http://192.168.110.2:5555/rtp/239.77.0.68:5146
内蒙古卫视标清,http://192.168.110.2:5555/rtp/239.77.0.70:5146
延边卫视标清,http://192.168.110.2:5555/rtp/239.77.0.10:5146

IPTV1,http://192.168.110.2:5555/rtp/239.77.1.75:5146
IPTV2,http://192.168.110.2:5555/rtp/239.77.1.63:5146
IPTV3,http://192.168.110.2:5555/rtp/239.77.1.64:5146
IPTV4,http://192.168.110.2:5555/rtp/239.77.1.56:5146
IPTV魅力时尚,http://192.168.110.2:5555/rtp/239.77.0.110:5146
IPTV经典电影,http://192.168.110.2:5555/rtp/239.77.0.104:5146
IPTV热播剧场,http://192.168.110.2:5555/rtp/239.77.0.106:5146
IPTV谍战剧场,http://192.168.110.2:5555/rtp/239.77.0.99:5146
IPTV谍战剧场2,http://192.168.110.2:5555/rtp/239.77.1.83:5146
IPTV相声小品,http://192.168.110.2:5555/rtp/239.77.0.100:5146
IPTV野外,http://192.168.110.2:5555/rtp/239.77.0.101:5146
IPTV法治,http://192.168.110.2:5555/rtp/239.77.0.102:5146
IPTV收视指南,http://192.168.110.2:5555/rtp/239.77.0.111:5146
IPTV少儿动画,http://192.168.110.2:5555/rtp/239.77.0.109:5146
快乐垂钓,http://192.168.110.2:5555/rtp/239.77.0.145:5146
四海钓鱼,http://192.168.110.2:5555/rtp/239.77.1.137:5146
梨园频道,http://192.168.110.2:5555/rtp/239.77.1.100:5146
老故事,http://192.168.110.2:5555/rtp/239.77.0.220:5146
中学生,http://192.168.110.2:5555/rtp/239.77.1.195:5146
国学频道,http://192.168.110.2:5555/rtp/239.77.0.226:5146
武术世界,http://192.168.110.2:5555/rtp/239.77.1.108:5146
发现之旅,http://192.168.110.2:5555/rtp/239.77.1.112:5146
书画频道,http://192.168.110.2:5555/rtp/239.77.1.115:5146
文化宝库,http://192.168.110.2:5555/rtp/239.77.1.120:5146
中国天气,http://192.168.110.2:5555/rtp/239.77.1.143:5146
中国交通,http://192.168.110.2:5555/rtp/239.77.1.249:5146
生态环境,http://192.168.110.2:5555/rtp/239.77.1.201:5146
天元围棋,http://192.168.110.2:5555/rtp/239.253.43.98:5146
茶频道,http://192.168.110.2:5555/rtp/239.77.0.15:5146
环球奇观,http://192.168.110.2:5555/rtp/239.77.1.198:5146
环球旅游,http://192.168.110.2:5555/rtp/239.77.1.202:5146
中华特产,http://192.168.110.2:5555/rtp/239.77.1.204:5146
先锋乒羽,http://192.168.110.2:5555/rtp/239.77.1.208:5146
车迷频道,http://192.168.110.2:5555/rtp/239.77.1.203:5146
汽摩,http://192.168.110.2:5555/rtp/239.77.0.209:5146
证券服务,http://192.168.110.2:5555/rtp/239.77.1.135:5146
财富天下,http://192.168.110.2:5555/rtp/239.77.0.113:5146
河北未知台,http://192.168.110.2:5555/rtp/239.253.43.165:5146
金鹰卡通,http://192.168.110.2:5555/rtp/239.77.0.80:5146
优漫卡通,http://192.168.110.2:5555/rtp/239.77.0.222:5146
新动漫,http://192.168.110.2:5555/rtp/239.77.1.136:5146
哈哈炫动,http://192.168.110.2:5555/rtp/239.77.0.81:5146
优优宝贝,http://192.168.110.2:5555/rtp/239.77.1.193:5146
卡酷少儿,http://192.168.110.2:5555/rtp/239.77.0.79:5146

广信组播带域名👉,#genre#
梅州综合高清,http://ddns.cyruslee.top:8888/udp/239.253.43.123:5146
梅州生活高清,http://ddns.cyruslee.top:8888/udp/239.253.43.124:5146
潮州综合高清,http://ddns.cyruslee.top:8888/udp/239.253.43.70:5146
潮州民生高清,http://ddns.cyruslee.top:8888/udp/239.253.43.75:5146
汕头新闻综合高清,http://ddns.cyruslee.top:8888/udp/239.253.43.45:5146
汕头经济生活高清,http://ddns.cyruslee.top:8888/udp/239.253.43.46:5146
汕头文旅体育高清,http://ddns.cyruslee.top:8888/udp/239.253.43.47:5146
揭阳综合高清,http://ddns.cyruslee.top:8888/udp/239.77.0.229:5146
揭阳生活高清,http://ddns.cyruslee.top:8888/udp/239.77.0.251:5146
河源综合高清,http://ddns.cyruslee.top:8888/udp/239.253.43.213:5146
河源公共高清,http://ddns.cyruslee.top:8888/udp/239.253.43.214:5146
惠州-1高清,http://ddns.cyruslee.top:8888/udp/239.77.1.232:5146
惠州-2高清,http://ddns.cyruslee.top:8888/udp/239.77.1.233:5146
珠江超清,http://ddns.cyruslee.top:8888/udp/239.77.0.114:5146
珠江高清,http://ddns.cyruslee.top:8888/udp/239.77.0.1:5146
广东经济科教超清,http://ddns.cyruslee.top:8888/udp/239.77.0.167:5146
广东经济科教高清,http://ddns.cyruslee.top:8888/udp/239.77.0.85:5146
广东体育超清,http://ddns.cyruslee.top:8888/udp/239.77.0.168:5146
广东体育高清,http://ddns.cyruslee.top:8888/udp/239.77.0.112:5146
南国都市4K,http://ddns.cyruslee.top:8888/udp/239.253.43.99:5146
广东新闻高清,http://ddns.cyruslee.top:8888/udp/239.77.0.173:5146
广东民生高清,http://ddns.cyruslee.top:8888/udp/239.77.0.225:5146
广东影视高清,http://ddns.cyruslee.top:8888/udp/239.77.0.217:5146
广东综艺4K超清,http://ddns.cyruslee.top:8888/udp/239.77.0.244:5146
岭南戏曲,http://ddns.cyruslee.top:8888/udp/239.77.0.16:5146
大湾区卫视高清,http://ddns.cyruslee.top:8888/udp/239.77.0.215:5146
深圳都市高清,http://ddns.cyruslee.top:8888/udp/239.77.1.124:5146
深圳体育健康高清,http://ddns.cyruslee.top:8888/udp/239.77.1.140:5146
深圳电视剧高清,http://ddns.cyruslee.top:8888/udp/239.77.1.125:5146
深圳创众高清,http://ddns.cyruslee.top:8888/udp/239.77.1.247:5146
深圳龙岗高清,http://ddns.cyruslee.top:8888/udp/239.77.1.223:5146
深圳东部高清(信号故障),http://ddns.cyruslee.top:8888/udp/239.77.1.224:5146
深圳宝安高清,http://ddns.cyruslee.top:8888/udp/239.77.1.67:5146
深圳公共高清,http://ddns.cyruslee.top:8888/udp/239.77.1.126:5146
深圳娱乐高清,http://ddns.cyruslee.top:8888/udp/239.77.1.243:5146
深圳财经高清,http://ddns.cyruslee.top:8888/udp/239.77.1.242:5146
深圳少儿高清,http://ddns.cyruslee.top:8888/udp/239.77.1.244:5146
深圳宜和购物高清,http://ddns.cyruslee.top:8888/udp/239.77.1.87:5146
深圳宝安第一课标清,http://ddns.cyruslee.top:8888/udp/239.77.1.225:5146
深圳移动标清,http://ddns.cyruslee.top:8888/udp/239.77.1.175:5146
广州综合高清,http://ddns.cyruslee.top:8888/udp/239.253.43.71:5146
广州新闻高清,http://ddns.cyruslee.top:8888/udp/239.253.43.72:5146
广州影视高清,http://ddns.cyruslee.top:8888/udp/239.253.43.73:5146
广州法治高清,http://ddns.cyruslee.top:8888/udp/239.253.43.74:5146
汕尾新闻综合高清,http://ddns.cyruslee.top:8888/udp/239.77.0.25:5146
汕尾文化生活高清,http://ddns.cyruslee.top:8888/udp/239.77.0.187:5146
佛山综合高清,http://ddns.cyruslee.top:8888/udp/239.253.43.57:5146
佛山公共高清,http://ddns.cyruslee.top:8888/udp/239.253.43.53:5146
佛山顺德高清,http://ddns.cyruslee.top:8888/udp/239.253.43.55:5146
佛山南海高清,http://ddns.cyruslee.top:8888/udp/239.253.43.54:5146
佛山影视高清,http://ddns.cyruslee.top:8888/udp/239.253.43.56:5146
肇庆综合高清,http://ddns.cyruslee.top:8888/udp/239.253.43.1:5146
肇庆生活高清,http://ddns.cyruslee.top:8888/udp/239.253.43.2:5146
中山综合高清,http://ddns.cyruslee.top:8888/udp/239.253.43.62:5146
香山文化高清,http://ddns.cyruslee.top:8888/udp/239.253.43.63:5146
中山教育高清,http://ddns.cyruslee.top:8888/udp/239.253.43.64:5146
清远新闻综合高清,http://ddns.cyruslee.top:8888/udp/239.253.43.33:5146
清远文旅生活高清,http://ddns.cyruslee.top:8888/udp/239.253.43.34:5146
东莞新闻综合高清,http://ddns.cyruslee.top:8888/udp/239.253.43.104:5146
东莞生活资讯高清,http://ddns.cyruslee.top:8888/udp/239.253.43.105:5146
珠海-1高清,http://ddns.cyruslee.top:8888/udp/239.77.0.155:5146
珠海-2高清,http://ddns.cyruslee.top:8888/udp/239.77.0.154:5146
韶关新闻综合高清,http://ddns.cyruslee.top:8888/udp/239.77.0.117:5146
韶关绿色生活高清(CCTV1),http://ddns.cyruslee.top:8888/udp/239.77.0.119:5146
湛江新闻综合高清,http://ddns.cyruslee.top:8888/udp/239.77.0.141:5146
湛江公共高清,http://ddns.cyruslee.top:8888/udp/239.77.0.140:5146
徐闻综合高清,http://ddns.cyruslee.top:8888/udp/239.253.43.112:5146
江门综合高清,http://ddns.cyruslee.top:8888/udp/239.77.0.201:5146
江门侨乡生活高清,http://ddns.cyruslee.top:8888/udp/239.77.0.202:5146
江门教育高清,http://ddns.cyruslee.top:8888/udp/239.77.0.203:5146
茂名综合高清,http://ddns.cyruslee.top:8888/udp/239.77.0.206:5146
茂名文化生活高清,http://ddns.cyruslee.top:8888/udp/239.77.0.207:5146
云浮综合高清,http://ddns.cyruslee.top:8888/udp/239.77.0.253:5146
云浮文旅高清,http://ddns.cyruslee.top:8888/udp/239.77.0.254:5146
广东少儿高清,http://ddns.cyruslee.top:8888/udp/239.77.0.250:5146
嘉佳卡通高清,http://ddns.cyruslee.top:8888/udp/239.77.0.179:5146
广东房产,http://ddns.cyruslee.top:8888/udp/239.77.0.14:5146
现代教育,http://ddns.cyruslee.top:8888/udp/239.77.0.18:5146
南方购物高清,http://ddns.cyruslee.top:8888/udp/239.77.0.19:5146
广东移动,http://ddns.cyruslee.top:8888/udp/239.77.0.20:5146

CCTV4K,http://ddns.cyruslee.top:8888/udp/239.77.0.174:5146
CCTV-1高清,http://ddns.cyruslee.top:8888/udp/239.77.1.17:5146
CCTV-2高清,http://ddns.cyruslee.top:8888/udp/239.77.0.137:5146
CCTV-3高清,http://ddns.cyruslee.top:8888/udp/239.77.0.169:5146
CCTV-4中文高清,http://ddns.cyruslee.top:8888/udp/239.77.0.78:5146
CCTV-4欧洲高清,http://ddns.cyruslee.top:8888/udp/239.253.43.120:5146
CCTV-4美洲高清,http://ddns.cyruslee.top:8888/udp/239.253.43.121:5146
CCTV-5高清,http://ddns.cyruslee.top:8888/udp/239.77.0.170:5146
CCTV-5+高清,http://ddns.cyruslee.top:8888/udp/239.77.0.87:5146
CCTV-6高清,http://ddns.cyruslee.top:8888/udp/239.77.0.171:5146
CCTV-7高清,http://ddns.cyruslee.top:8888/udp/239.77.0.138:5146
CCTV-8高清,http://ddns.cyruslee.top:8888/udp/239.77.0.172:5146
CCTV-9高清,http://ddns.cyruslee.top:8888/udp/239.77.0.135:5146
CCTV-10高清,http://ddns.cyruslee.top:8888/udp/239.77.0.134:5146
CCTV-11高清,http://ddns.cyruslee.top:8888/udp/239.77.1.238:5146
CCTV-12高清,http://ddns.cyruslee.top:8888/udp/239.77.0.136:5146
CCTV-13高清,http://ddns.cyruslee.top:8888/udp/239.77.0.188:5146
CCTV-14高清,http://ddns.cyruslee.top:8888/udp/239.77.0.133:5146
CCTV-15高清,http://ddns.cyruslee.top:8888/udp/239.77.1.239:5146
CCTV-16高清,http://ddns.cyruslee.top:8888/udp/239.77.0.165:5146
CCTV-17高清,http://ddns.cyruslee.top:8888/udp/239.77.0.198:5146
CCTV风云音乐高清,http://ddns.cyruslee.top:8888/udp/239.253.43.6:5146
CCTV怀旧剧场高清,http://ddns.cyruslee.top:8888/udp/239.253.43.5:5146
CCTV第一剧场高清,http://ddns.cyruslee.top:8888/udp/239.253.43.15:5146
CCTV风云剧场高清,http://ddns.cyruslee.top:8888/udp/239.253.43.16:5146
CCTV世界地理高清,http://ddns.cyruslee.top:8888/udp/239.253.43.7:5146
CCTV女性时尚高清,http://ddns.cyruslee.top:8888/udp/239.253.43.8:5146
CCTV兵器科技高清,http://ddns.cyruslee.top:8888/udp/239.253.43.9:5146
CCTV电视指南高清,http://ddns.cyruslee.top:8888/udp/239.253.43.10:5146
CCTV央视台球高清,http://ddns.cyruslee.top:8888/udp/239.253.43.11:5146
CCTV高尔夫网高清,http://ddns.cyruslee.top:8888/udp/239.253.43.12:5146
CCTV文化精品高清,http://ddns.cyruslee.top:8888/udp/239.253.43.13:5146
CCTV风云足球高清,http://ddns.cyruslee.top:8888/udp/239.253.43.14:5146
CETV-1高清,http://ddns.cyruslee.top:8888/udp/239.77.0.200:5146
CETV2标清,http://ddns.cyruslee.top:8888/udp/239.77.0.28:5146
CETV4高清,http://ddns.cyruslee.top:8888/udp/239.77.1.200:5146
CETV早期教育高清,http://ddns.cyruslee.top:8888/udp/239.77.0.180:5146
CGTN,http://ddns.cyruslee.top:8888/udp/239.77.0.45:5146
CGTN英高清,http://ddns.cyruslee.top:8888/udp/239.253.43.122:5146
CGTN阿拉伯语,http://ddns.cyruslee.top:8888/udp/239.253.43.200:5146
CGTN俄语高清,http://ddns.cyruslee.top:8888/udp/239.253.43.201:5146
CGTN英语高清,http://ddns.cyruslee.top:8888/udp/239.77.0.199:5146
CGTN西班牙语高清,http://ddns.cyruslee.top:8888/udp/239.77.0.221:5146
CGTN法语高清,http://ddns.cyruslee.top:8888/udp/239.77.0.228:5146
CHC高清电影,http://ddns.cyruslee.top:8888/udp/239.77.0.27:5146
求索纪录,http://ddns.cyruslee.top:8888/udp/239.77.0.21:5146
求索生活,http://ddns.cyruslee.top:8888/udp/239.77.0.153:5146
纪实人文高清,http://ddns.cyruslee.top:8888/udp/239.77.0.147:5146
金鹰纪实高清测试,http://ddns.cyruslee.top:8888/udp/239.77.0.160:5146
爱大剧,http://ddns.cyruslee.top:8888/udp/239.77.0.105:5146
爱电影,http://ddns.cyruslee.top:8888/udp/239.77.0.103:5146
爱综艺,http://ddns.cyruslee.top:8888/udp/239.77.0.107:5146
爱体育高清,http://ddns.cyruslee.top:8888/udp/239.77.0.176:5146

广东卫视超清,http://ddns.cyruslee.top:8888/udp/239.77.0.166:5146
广东卫视高清,http://ddns.cyruslee.top:8888/udp/239.77.0.84:5146
深圳卫视超清,http://ddns.cyruslee.top:8888/udp/239.77.0.130:5146
深圳卫视高清,http://ddns.cyruslee.top:8888/udp/239.77.0.92:5146
海南卫视高清,http://ddns.cyruslee.top:8888/udp/239.253.43.35:5146
三沙卫视高清,http://ddns.cyruslee.top:8888/udp/239.253.43.113:5146
广西卫视高清,http://ddns.cyruslee.top:8888/udp/239.77.0.139:5146
云南卫视高清,http://ddns.cyruslee.top:8888/udp/239.253.43.37:5146
江西卫视高清,http://ddns.cyruslee.top:8888/udp/239.77.0.149:5146
湖南卫视超清,http://ddns.cyruslee.top:8888/udp/239.77.0.127:5146
东南卫视高清,http://ddns.cyruslee.top:8888/udp/239.77.0.146:5146
厦门卫视,http://ddns.cyruslee.top:8888/udp/239.77.0.96:5146
浙江卫视超清,http://ddns.cyruslee.top:8888/udp/239.77.0.125:5146
江苏卫视高清,http://ddns.cyruslee.top:8888/udp/239.77.0.90:5146
东方卫视高清,http://ddns.cyruslee.top:8888/udp/239.77.0.98:5146
贵州卫视高清,http://ddns.cyruslee.top:8888/udp/239.77.0.230:5146
